case_id,document_id,sentence_id,mipvu_id,lexical_unit,lemma,language,unit_ordinal,sentence_unit_ordinal,sentence_text,semantic_control_term,semantic_control_risk,current_review_status,current_decision_type,decision_type,contextual_meaning,basic_meaning,basic_meaning_source,contrast_explanation,comparison_basis,confidence,review_notes,semantic_shift_risk,candidate_source_domain,candidate_target_domain,review_status,annotator
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p02_s01,lincoln-lyceum-address_s01_p02_s01_lu002,27,27,en,11,2,"January 27, 1837.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p02_s01,lincoln-lyceum-address_s01_p02_s01_lu003,1837,1837,en,12,3,"January 27, 1837.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,lincoln-lyceum-address_s01_p03_s01_lu001,As,as,en,13,1,"As a subject for the remarks of the evening, ""The Perpetuation of our Political Institutions"" is selected.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,lincoln-lyceum-address_s01_p03_s01_lu002,a,a,en,14,2,"As a subject for the remarks of the evening, ""The Perpetuation of our Political Institutions"" is selected.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,lincoln-lyceum-address_s01_p03_s01_lu003,subject,subject,en,15,3,"As a subject for the remarks of the evening, ""The Perpetuation of our Political Institutions"" is selected.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,lincoln-lyceum-address_s01_p03_s01_lu004,for,for,en,16,4,"As a subject for the remarks of the evening, ""The Perpetuation of our Political Institutions"" is selected.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,lincoln-lyceum-address_s01_p03_s01_lu005,the,the,en,17,5,"As a subject for the remarks of the evening, ""The Perpetuation of our Political Institutions"" is selected.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,lincoln-lyceum-address_s01_p03_s01_lu006,remarks,remarks,en,18,6,"As a subject for the remarks of the evening, ""The Perpetuation of our Political Institutions"" is selected.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,lincoln-lyceum-address_s01_p03_s01_lu007,of,of,en,19,7,"As a subject for the remarks of the evening, ""The Perpetuation of our Political Institutions"" is selected.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,lincoln-lyceum-address_s01_p03_s01_lu008,the,the,en,20,8,"As a subject for the remarks of the evening, ""The Perpetuation of our Political Institutions"" is selected.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,lincoln-lyceum-address_s01_p03_s01_lu009,evening,evening,en,21,9,"As a subject for the remarks of the evening, ""The Perpetuation of our Political Institutions"" is selected.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,lincoln-lyceum-address_s01_p03_s01_lu010,The,the,en,22,10,"As a subject for the remarks of the evening, ""The Perpetuation of our Political Institutions"" is selected.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,lincoln-lyceum-address_s01_p03_s01_lu011,Perpetuation,perpetuation,en,23,11,"As a subject for the remarks of the evening, ""The Perpetuation of our Political Institutions"" is selected.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,lincoln-lyceum-address_s01_p03_s01_lu012,of,of,en,24,12,"As a subject for the remarks of the evening, ""The Perpetuation of our Political Institutions"" is selected.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,lincoln-lyceum-address_s01_p03_s01_lu013,our,our,en,25,13,"As a subject for the remarks of the evening, ""The Perpetuation of our Political Institutions"" is selected.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,lincoln-lyceum-address_s01_p03_s01_lu014,Political,political,en,26,14,"As a subject for the remarks of the evening, ""The Perpetuation of our Political Institutions"" is selected.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,lincoln-lyceum-address_s01_p03_s01_lu015,Institutions,institutions,en,27,15,"As a subject for the remarks of the evening, ""The Perpetuation of our Political Institutions"" is selected.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,lincoln-lyceum-address_s01_p03_s01_lu016,is,is,en,28,16,"As a subject for the remarks of the evening, ""The Perpetuation of our Political Institutions"" is selected.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,lincoln-lyceum-address_s01_p03_s01_lu017,selected,selected,en,29,17,"As a subject for the remarks of the evening, ""The Perpetuation of our Political Institutions"" is selected.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,lincoln-lyceum-address_s01_p04_s01_lu001,In,in,en,30,1,"In the great journal of things happening under the sun, we, the American people, find our account running under date of the nineteenth century of the Christian era.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,lincoln-lyceum-address_s01_p04_s01_lu002,the,the,en,31,2,"In the great journal of things happening under the sun, we, the American people, find our account running under date of the nineteenth century of the Christian era.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,lincoln-lyceum-address_s01_p04_s01_lu003,great,great,en,32,3,"In the great journal of things happening under the sun, we, the American people, find our account running under date of the nineteenth century of the Christian era.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,lincoln-lyceum-address_s01_p04_s01_lu004,journal,journal,en,33,4,"In the great journal of things happening under the sun, we, the American people, find our account running under date of the nineteenth century of the Christian era.",,,reviewed,mipvu_direct,mipvu_direct,historical time and national circumstance are represented as a ledger or journal entry,a written record or account-book entry,"Webster 1828, ""journal"" / ""account""","Events under the sun are not literally a ledger, but the sentence frames history through accounting.",Historical situation is understood through written/accounting records.,0.82,Opening accounting image; useful background but not direct sacrifice evidence.,medium,debt_accounting,history,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,lincoln-lyceum-address_s01_p04_s01_lu005,of,of,en,34,5,"In the great journal of things happening under the sun, we, the American people, find our account running under date of the nineteenth century of the Christian era.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,lincoln-lyceum-address_s01_p04_s01_lu006,things,things,en,35,6,"In the great journal of things happening under the sun, we, the American people, find our account running under date of the nineteenth century of the Christian era.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,lincoln-lyceum-address_s01_p04_s01_lu007,happening,happening,en,36,7,"In the great journal of things happening under the sun, we, the American people, find our account running under date of the nineteenth century of the Christian era.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,lincoln-lyceum-address_s01_p04_s01_lu008,under,under,en,37,8,"In the great journal of things happening under the sun, we, the American people, find our account running under date of the nineteenth century of the Christian era.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,lincoln-lyceum-address_s01_p04_s01_lu009,the,the,en,38,9,"In the great journal of things happening under the sun, we, the American people, find our account running under date of the nineteenth century of the Christian era.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,lincoln-lyceum-address_s01_p04_s01_lu010,sun,sun,en,39,10,"In the great journal of things happening under the sun, we, the American people, find our account running under date of the nineteenth century of the Christian era.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,lincoln-lyceum-address_s01_p04_s01_lu011,we,we,en,40,11,"In the great journal of things happening under the sun, we, the American people, find our account running under date of the nineteenth century of the Christian era.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,lincoln-lyceum-address_s01_p04_s01_lu012,the,the,en,41,12,"In the great journal of things happening under the sun, we, the American people, find our account running under date of the nineteenth century of the Christian era.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,lincoln-lyceum-address_s01_p04_s01_lu013,American,american,en,42,13,"In the great journal of things happening under the sun, we, the American people, find our account running under date of the nineteenth century of the Christian era.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,lincoln-lyceum-address_s01_p04_s01_lu014,people,people,en,43,14,"In the great journal of things happening under the sun, we, the American people, find our account running under date of the nineteenth century of the Christian era.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,lincoln-lyceum-address_s01_p04_s01_lu015,find,find,en,44,15,"In the great journal of things happening under the sun, we, the American people, find our account running under date of the nineteenth century of the Christian era.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,lincoln-lyceum-address_s01_p04_s01_lu016,our,our,en,45,16,"In the great journal of things happening under the sun, we, the American people, find our account running under date of the nineteenth century of the Christian era.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,lincoln-lyceum-address_s01_p04_s01_lu017,account,account,en,46,17,"In the great journal of things happening under the sun, we, the American people, find our account running under date of the nineteenth century of the Christian era.",,,reviewed,mipvu_direct,mipvu_direct,historical time and national circumstance are represented as a ledger or journal entry,a written record or account-book entry,"Webster 1828, ""journal"" / ""account""","Events under the sun are not literally a ledger, but the sentence frames history through accounting.",Historical situation is understood through written/accounting records.,0.82,Opening accounting image; useful background but not direct sacrifice evidence.,medium,debt_accounting,history,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,lincoln-lyceum-address_s01_p04_s01_lu018,running,running,en,47,18,"In the great journal of things happening under the sun, we, the American people, find our account running under date of the nineteenth century of the Christian era.",,,reviewed,mipvu_direct,mipvu_direct,historical time and national circumstance are represented as a ledger or journal entry,a written record or account-book entry,"Webster 1828, ""journal"" / ""account""","Events under the sun are not literally a ledger, but the sentence frames history through accounting.",Historical situation is understood through written/accounting records.,0.82,Opening accounting image; useful background but not direct sacrifice evidence.,medium,debt_accounting,history,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,lincoln-lyceum-address_s01_p04_s01_lu019,under,under,en,48,19,"In the great journal of things happening under the sun, we, the American people, find our account running under date of the nineteenth century of the Christian era.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,lincoln-lyceum-address_s01_p04_s01_lu020,date,date,en,49,20,"In the great journal of things happening under the sun, we, the American people, find our account running under date of the nineteenth century of the Christian era.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,lincoln-lyceum-address_s01_p04_s01_lu021,of,of,en,50,21,"In the great journal of things happening under the sun, we, the American people, find our account running under date of the nineteenth century of the Christian era.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,lincoln-lyceum-address_s01_p04_s01_lu022,the,the,en,51,22,"In the great journal of things happening under the sun, we, the American people, find our account running under date of the nineteenth century of the Christian era.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,lincoln-lyceum-address_s01_p04_s01_lu023,nineteenth,nineteenth,en,52,23,"In the great journal of things happening under the sun, we, the American people, find our account running under date of the nineteenth century of the Christian era.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,lincoln-lyceum-address_s01_p04_s01_lu024,century,century,en,53,24,"In the great journal of things happening under the sun, we, the American people, find our account running under date of the nineteenth century of the Christian era.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,lincoln-lyceum-address_s01_p04_s01_lu025,of,of,en,54,25,"In the great journal of things happening under the sun, we, the American people, find our account running under date of the nineteenth century of the Christian era.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,lincoln-lyceum-address_s01_p04_s01_lu026,the,the,en,55,26,"In the great journal of things happening under the sun, we, the American people, find our account running under date of the nineteenth century of the Christian era.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,lincoln-lyceum-address_s01_p04_s01_lu027,Christian,christian,en,56,27,"In the great journal of things happening under the sun, we, the American people, find our account running under date of the nineteenth century of the Christian era.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,lincoln-lyceum-address_s01_p04_s01_lu028,era,era,en,57,28,"In the great journal of things happening under the sun, we, the American people, find our account running under date of the nineteenth century of the Christian era.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,lincoln-lyceum-address_s01_p04_s02_lu001,We,we,en,58,1,"We find ourselves in the peaceful possession of the fairest portion of the earth as regards extent of territory, fertility of soil, and salubrity of climate.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,lincoln-lyceum-address_s01_p04_s02_lu002,find,find,en,59,2,"We find ourselves in the peaceful possession of the fairest portion of the earth as regards extent of territory, fertility of soil, and salubrity of climate.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,lincoln-lyceum-address_s01_p04_s02_lu003,ourselves,ourselves,en,60,3,"We find ourselves in the peaceful possession of the fairest portion of the earth as regards extent of territory, fertility of soil, and salubrity of climate.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,lincoln-lyceum-address_s01_p04_s02_lu004,in,in,en,61,4,"We find ourselves in the peaceful possession of the fairest portion of the earth as regards extent of territory, fertility of soil, and salubrity of climate.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,lincoln-lyceum-address_s01_p04_s02_lu005,the,the,en,62,5,"We find ourselves in the peaceful possession of the fairest portion of the earth as regards extent of territory, fertility of soil, and salubrity of climate.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,lincoln-lyceum-address_s01_p04_s02_lu006,peaceful,peaceful,en,63,6,"We find ourselves in the peaceful possession of the fairest portion of the earth as regards extent of territory, fertility of soil, and salubrity of climate.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,lincoln-lyceum-address_s01_p04_s02_lu007,possession,possession,en,64,7,"We find ourselves in the peaceful possession of the fairest portion of the earth as regards extent of territory, fertility of soil, and salubrity of climate.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,lincoln-lyceum-address_s01_p04_s02_lu008,of,of,en,65,8,"We find ourselves in the peaceful possession of the fairest portion of the earth as regards extent of territory, fertility of soil, and salubrity of climate.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,lincoln-lyceum-address_s01_p04_s02_lu009,the,the,en,66,9,"We find ourselves in the peaceful possession of the fairest portion of the earth as regards extent of territory, fertility of soil, and salubrity of climate.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,lincoln-lyceum-address_s01_p04_s02_lu010,fairest,fairest,en,67,10,"We find ourselves in the peaceful possession of the fairest portion of the earth as regards extent of territory, fertility of soil, and salubrity of climate.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,lincoln-lyceum-address_s01_p04_s02_lu011,portion,portion,en,68,11,"We find ourselves in the peaceful possession of the fairest portion of the earth as regards extent of territory, fertility of soil, and salubrity of climate.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,lincoln-lyceum-address_s01_p04_s02_lu012,of,of,en,69,12,"We find ourselves in the peaceful possession of the fairest portion of the earth as regards extent of territory, fertility of soil, and salubrity of climate.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,lincoln-lyceum-address_s01_p04_s02_lu013,the,the,en,70,13,"We find ourselves in the peaceful possession of the fairest portion of the earth as regards extent of territory, fertility of soil, and salubrity of climate.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,lincoln-lyceum-address_s01_p04_s02_lu014,earth,earth,en,71,14,"We find ourselves in the peaceful possession of the fairest portion of the earth as regards extent of territory, fertility of soil, and salubrity of climate.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,lincoln-lyceum-address_s01_p04_s02_lu015,as,as,en,72,15,"We find ourselves in the peaceful possession of the fairest portion of the earth as regards extent of territory, fertility of soil, and salubrity of climate.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,lincoln-lyceum-address_s01_p04_s02_lu016,regards,regards,en,73,16,"We find ourselves in the peaceful possession of the fairest portion of the earth as regards extent of territory, fertility of soil, and salubrity of climate.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,lincoln-lyceum-address_s01_p04_s02_lu017,extent,extent,en,74,17,"We find ourselves in the peaceful possession of the fairest portion of the earth as regards extent of territory, fertility of soil, and salubrity of climate.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,lincoln-lyceum-address_s01_p04_s02_lu018,of,of,en,75,18,"We find ourselves in the peaceful possession of the fairest portion of the earth as regards extent of territory, fertility of soil, and salubrity of climate.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,lincoln-lyceum-address_s01_p04_s02_lu019,territory,territory,en,76,19,"We find ourselves in the peaceful possession of the fairest portion of the earth as regards extent of territory, fertility of soil, and salubrity of climate.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,lincoln-lyceum-address_s01_p04_s02_lu020,fertility,fertility,en,77,20,"We find ourselves in the peaceful possession of the fairest portion of the earth as regards extent of territory, fertility of soil, and salubrity of climate.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,lincoln-lyceum-address_s01_p04_s02_lu021,of,of,en,78,21,"We find ourselves in the peaceful possession of the fairest portion of the earth as regards extent of territory, fertility of soil, and salubrity of climate.",,,reviewed,non_metaphor,non_metaphor,,,,,,,,,,,reviewed,codex-assisted-mipvu-v1
